OrderID,CustomerID,OrderDate,FulfillmentDate,OrderAmount,Status
1,79,2024-02-17 03:46:37.828070,2024-09-17 03:46:37.856852,413.76,Fulfilled
2,24,2024-08-28 03:46:37.828070,2024-09-14 03:46:37.856852,787.4,Cancelled
3,26,2024-05-03 03:46:37.828070,2024-08-24 03:46:37.856852,855.18,Cancelled
4,42,2024-03-16 03:46:37.828070,2024-08-28 03:46:37.856852,153.87,Fulfilled
5,87,2024-02-23 03:46:37.828070,2024-09-01 03:46:37.856852,580.69,Cancelled
6,58,2024-07-06 03:46:37.828070,2024-09-01 03:46:37.856852,449.67,Pending
7,43,2024-09-07 03:46:37.828070,2024-09-10 03:46:37.856852,581.46,Cancelled
8,72,2024-07-01 03:46:37.828070,2024-09-08 03:46:37.856852,385.61,Pending
9,70,2024-09-05 03:46:37.828070,2024-08-23 03:46:37.856852,965.16,Cancelled
10,69,2023-12-25 03:46:37.828070,2024-09-17 03:46:37.856852,662.18,Fulfilled
11,66,2024-09-08 03:46:37.828070,,792.53,Cancelled
12,83,2024-01-18 03:46:37.828070,2024-09-09 03:46:37.856852,648.88,Pending
13,49,2024-08-09 03:46:37.828070,2024-08-25 03:46:37.856852,718.07,Fulfilled
14,46,2024-05-16 03:46:37.828070,,993.55,Cancelled
15,90,2024-02-21 03:46:37.828070,,939.37,Fulfilled
16,9,2024-08-13 03:46:37.828070,,654.53,Fulfilled
17,79,2024-07-17 03:46:37.828070,2024-09-14 03:46:37.856852,124.47,Pending
18,80,2024-09-16 03:46:37.828070,2024-09-21 03:46:37.856852,919.02,Fulfilled
19,50,2024-05-25 03:46:37.828070,2024-09-07 03:46:37.856852,475.03,Cancelled
20,79,2024-08-15 03:46:37.828070,2024-08-25 03:46:37.856852,775.01,Pending
21,6,2024-02-23 03:46:37.828070,,809.7,Fulfilled
22,23,2024-04-21 03:46:37.828070,2024-08-27 03:46:37.856852,159.93,Fulfilled
23,11,2023-11-15 03:46:37.828070,2024-09-08 03:46:37.856852,204.08,Fulfilled
24,52,2024-01-20 03:46:37.828070,,914.39,Cancelled
25,56,2024-07-24 03:46:37.828070,,683.48,Pending
26,32,2024-05-30 03:46:37.828070,,63.08,Pending
27,8,2024-03-17 03:46:37.828070,,999.05,Pending
28,1,2023-10-03 03:46:37.828070,2024-09-09 03:46:37.856852,134.65,Pending
29,48,2023-09-27 03:46:37.828070,2024-09-16 03:46:37.856852,35.16,Cancelled
30,25,2024-03-20 03:46:37.828070,2024-09-09 03:46:37.856852,505.43,Pending
31,13,2024-03-12 03:46:37.828070,2024-09-08 03:46:37.856852,40.76,Cancelled
32,18,2024-05-06 03:46:37.828070,2024-09-18 03:46:37.856852,169.33,Pending
33,48,2023-11-22 03:46:37.828070,2024-09-19 03:46:37.856852,936.47,Cancelled
34,33,2024-08-22 03:46:37.828070,2024-09-09 03:46:37.856852,626.38,Cancelled
35,55,2024-07-10 03:46:37.828070,2024-09-19 03:46:37.856852,493.94,Pending
36,97,2024-04-14 03:46:37.828070,2024-09-21 03:46:37.856852,831.91,Fulfilled
37,32,2024-06-25 03:46:37.828070,2024-08-27 03:46:37.856852,466.98,Fulfilled
38,11,2023-10-24 03:46:37.828070,2024-09-02 03:46:37.856852,152.01,Cancelled
39,52,2024-06-06 03:46:37.828070,2024-09-05 03:46:37.856852,787.54,Pending
40,6,2024-03-04 03:46:37.828070,2024-09-01 03:46:37.856852,768.85,Cancelled
41,63,2024-06-11 03:46:37.828070,2024-09-05 03:46:37.856852,843.56,Pending
42,3,2024-08-19 03:46:37.828070,2024-09-13 03:46:37.856852,336.4,Cancelled
43,28,2024-02-27 03:46:37.828070,2024-09-17 03:46:37.856852,459.15,Cancelled
44,34,2024-01-01 03:46:37.828070,,397.75,Cancelled
45,99,2024-02-10 03:46:37.828070,2024-09-10 03:46:37.856852,398.31,Cancelled
46,42,2024-09-13 03:46:37.828070,2024-08-23 03:46:37.856852,309.03,Pending
47,92,2023-11-04 03:46:37.828070,2024-09-11 03:46:37.856852,665.64,Cancelled
48,75,2024-05-11 03:46:37.828070,2024-09-14 03:46:37.856852,364.88,Cancelled
49,81,2023-12-12 03:46:37.828070,,862.85,Fulfilled
50,25,2023-10-01 03:46:37.828070,2024-09-21 03:46:37.856852,311.52,Fulfilled
51,72,2024-04-15 03:46:37.828070,,884.65,Fulfilled
52,18,2023-11-18 03:46:37.828070,2024-09-03 03:46:37.856852,673.31,Pending
53,83,2024-02-23 03:46:37.828070,2024-09-15 03:46:37.856852,206.72,Fulfilled
54,28,2024-03-11 03:46:37.828070,2024-09-04 03:46:37.856852,457.91,Cancelled
55,80,2024-09-08 03:46:37.828070,2024-09-18 03:46:37.856852,729.01,Cancelled
56,47,2023-12-18 03:46:37.828070,2024-09-16 03:46:37.856852,421.34,Pending
57,77,2024-01-06 03:46:37.828070,2024-09-16 03:46:37.856852,510.83,Pending
58,32,2024-06-13 03:46:37.828070,2024-09-01 03:46:37.856852,456.04,Cancelled
59,57,2023-10-01 03:46:37.828070,,832.17,Pending
60,80,2024-08-11 03:46:37.828070,2024-09-03 03:46:37.856852,656.08,Pending
61,36,2023-12-10 03:46:37.828070,2024-09-14 03:46:37.856852,38.12,Cancelled
62,32,2024-05-02 03:46:37.828070,2024-08-29 03:46:37.856852,649.46,Cancelled
63,17,2024-05-06 03:46:37.828070,2024-08-27 03:46:37.856852,262.41,Cancelled
64,84,2023-09-30 03:46:37.828070,2024-09-10 03:46:37.856852,859.94,Fulfilled
65,45,2024-08-03 03:46:37.828070,2024-09-07 03:46:37.856852,957.04,Pending
66,31,2023-10-31 03:46:37.828070,2024-09-13 03:46:37.856852,758.74,Pending
67,75,2024-03-28 03:46:37.828070,2024-09-17 03:46:37.856852,429.15,Fulfilled
68,40,2024-05-07 03:46:37.828070,,221.29,Cancelled
69,86,2024-04-26 03:46:37.828070,2024-08-24 03:46:37.856852,25.66,Pending
70,46,2023-12-16 03:46:37.828070,2024-09-18 03:46:37.856852,296.88,Fulfilled
71,37,2024-03-12 03:46:37.828070,2024-08-27 03:46:37.856852,54.38,Cancelled
72,82,2023-11-24 03:46:37.828070,2024-09-19 03:46:37.856852,962.25,Pending
73,63,2023-10-04 03:46:37.828070,,413.6,Cancelled
74,97,2023-10-27 03:46:37.828070,2024-09-20 03:46:37.856852,982.95,Fulfilled
75,53,2023-12-12 03:46:37.828070,,903.38,Fulfilled
76,81,2023-12-05 03:46:37.828070,2024-08-24 03:46:37.856852,85.25,Pending
77,80,2024-08-10 03:46:37.828070,2024-09-03 03:46:37.856852,703.85,Pending
78,14,2024-08-05 03:46:37.828070,2024-09-17 03:46:37.856852,863.92,Cancelled
79,31,2023-11-11 03:46:37.828070,2024-09-11 03:46:37.856852,652.07,Fulfilled
80,30,2024-02-12 03:46:37.828070,2024-09-06 03:46:37.856852,32.09,Cancelled
81,48,2023-12-13 03:46:37.828070,2024-09-03 03:46:37.856852,902.25,Cancelled
82,49,2024-03-18 03:46:37.828070,2024-08-30 03:46:37.856852,548.44,Fulfilled
83,1,2024-09-18 03:46:37.828070,2024-08-27 03:46:37.856852,962.41,Fulfilled
84,22,2024-06-24 03:46:37.828070,,954.49,Fulfilled
85,85,2024-02-18 03:46:37.828070,2024-09-21 03:46:37.856852,846.16,Fulfilled
86,90,2024-09-07 03:46:37.828070,2024-08-29 03:46:37.856852,339.05,Cancelled
87,35,2024-06-25 03:46:37.828070,,913.32,Pending
88,6,2024-06-22 03:46:37.828070,2024-09-14 03:46:37.856852,864.25,Pending
89,30,2024-08-20 03:46:37.828070,2024-09-05 03:46:37.856852,633.39,Fulfilled
90,25,2024-09-19 03:46:37.828070,2024-09-04 03:46:37.856852,725.88,Cancelled
91,23,2023-11-13 03:46:37.828070,2024-08-23 03:46:37.856852,279.51,Fulfilled
92,83,2024-06-09 03:46:37.828070,,715.11,Cancelled
93,46,2024-05-27 03:46:37.828070,,267.87,Pending
94,96,2023-12-28 03:46:37.828070,2024-08-28 03:46:37.856852,474.57,Pending
95,39,2023-12-13 03:46:37.828070,2024-09-08 03:46:37.856852,81.72,Fulfilled
96,95,2024-01-04 03:46:37.828070,2024-09-01 03:46:37.856852,815.39,Cancelled
97,71,2024-01-15 03:46:37.828070,,551.81,Cancelled
98,100,2024-07-30 03:46:37.828070,2024-09-11 03:46:37.856852,533.12,Pending
99,19,2024-05-12 03:46:37.828070,2024-09-02 03:46:37.856852,722.18,Fulfilled
100,54,2024-04-23 03:46:37.828070,,876.59,Fulfilled
101,79,2024-06-14 03:46:37.828070,2024-09-18 03:46:37.856852,466.55,Cancelled
102,67,2024-07-30 03:46:37.828070,2024-08-25 03:46:37.856852,324.52,Pending
103,97,2023-11-21 03:46:37.828070,2024-09-03 03:46:37.856852,617.91,Pending
104,4,2024-08-02 03:46:37.828070,2024-09-10 03:46:37.856852,462.97,Pending
105,62,2024-09-03 03:46:37.828070,2024-09-06 03:46:37.856852,56.37,Fulfilled
106,90,2024-08-13 03:46:37.828070,2024-09-05 03:46:37.856852,910.48,Fulfilled
